Reaction id 	 Name 	 Reason why it is unbalance 	 Sum of reactants coefficients 	 Sum of products coefficients 	 Difference between reactants and products 	 It was balanced 	 What was modified 	 Sum of reactants coefficients 	 Sum of products coefficients 	 Difference between reactants and products 
 RXN1G__45__818	 RXN1G-818	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 63}{ X: 2}{ H: 114}{ N: 3}{ O: 12}  	  { P: 1} { C: 63} { S: 2} { X: 2} { H: 115} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 63}{ X: 2}{ H: 112}{ N: 3}{ O: 12} 	 { P: 1}{ C: 63}{ S: 2}{ X: 2}{ H: 115}{ N: 3}{ O: 12} 	 { H: -3} 	 
RXN1G__45__1015	 RXN1G-1015	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 65}{ X: 2}{ H: 118}{ N: 3}{ O: 12}  	  { P: 1} { C: 65} { S: 2} { X: 2} { H: 119} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 65}{ X: 2}{ H: 116}{ N: 3}{ O: 12} 	 { P: 1}{ C: 65}{ S: 2}{ X: 2}{ H: 119}{ N: 3}{ O: 12} 	 { H: -3} 	 
RXN1G__45__184	 RXN1G-184	Reactants and product do not have the same elements  	 { P: 3}{ C: 21}{ H: 25}{ N: 7}{ O: 17}  	  { P: 4} { S: 1} { C: 89} { X: 1} { H: 152} { N: 10} { O: 27}   	  { P: -1}{ C: -68}{ H: -127}{ N: -3}{ O: -10}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__9516	 RXN-9516	The sum of coefficients is different on both sides 	 { S: 2}{ C: 7}{ X: 2}{ H: 10}{ O: 4}  	  { S: 2} { C: 7} { X: 2} { H: 11} { O: 4}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { S: 2}{ C: 7}{ X: 2}{ H: 8}{ O: 4} 	 { S: 2}{ C: 7}{ X: 2}{ H: 11}{ O: 4} 	 { H: -3} 	 
RXN__45__8926	 RXN-8926	The sum of coefficients is different on both sides 	 { P: 30}{ S: 3}{ C: 220}{ X: 2}{ H: 286}{ N: 70}{ O: 176}  	  { P: 30} { C: 220} { S: 3} { X: 2} { H: 288} { N: 70} { O: 176}   	  { H: -2}  	 YES 	 Adding atoms of one element in reactans	 { P: 30}{ S: 3}{ C: 220}{ X: 2}{ H: 274}{ N: 70}{ O: 176} 	 { P: 30}{ C: 220}{ S: 3}{ X: 2}{ H: 288}{ N: 70}{ O: 176} 	 { H: -14} 	 
RXN__45__19920	 RXN-19920	The sum of coefficients is different on both sides 	 { P: 2}{ C: 24}{ X: 1}{ H: 36}{ N: 8}{ O: 17}  	  { P: 2} { C: 23} { X: 2} { H: 36} { N: 7} { O: 16}   	  { C: 1}{ X: -1}{ N: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
PLASMALOGEN__45__SYNTHASE__45__RXN	 PLASMALOGEN-SYNTHASE-RXN	Reactants and product do not have the same elements  	 { P: 3}{ S: 1}{ C: 22}{ X: 1}{ H: 31}{ N: 7}{ O: 17}  	  { P: 3} { S: 1} { C: 21} { H: 32} { N: 7} { O: 16}   	  { C: 1}{ X: 1}{ H: -1}{ O: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
_3__46__5__46__1__46__52__45__RXN	 3.5.1.52-RXN	Reactants and product do not have the same elements  	 { H: 2}{ O: 1}  	  { C: 8} { H: 17} { N: 2} { O: 5}   	  { H: -15}{ O: -4}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__306	 RXN1G-306	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 41}{ X: 2}{ H: 72}{ N: 3}{ O: 12}  	  { P: 1} { C: 41} { S: 2} { X: 2} { H: 73} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 41}{ X: 2}{ H: 70}{ N: 3}{ O: 12} 	 { P: 1}{ C: 41}{ S: 2}{ X: 2}{ H: 73}{ N: 3}{ O: 12} 	 { H: -3} 	 
_3__46__2__46__1__46__114__45__RXN	 3.2.1.114-RXN	Reactants and product do not have the same elements  	 { H: 4}{ O: 2}  	  { C: 12} { H: 24} { O: 12}   	  { H: -20}{ O: -10}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__18911	 RXN-18911	Reactants and product do not have the same elements  	 { H: 8}{ O: 4}  	  { C: 24} { H: 48} { O: 24}   	  { H: -40}{ O: -20}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__15511	 RXN-15511	Reactants and product do not have the same elements  	 { P: 2}{ C: 10}{ X: 1}{ H: 11}{ N: 4}{ O: 12}  	  { P: 1} { C: 3} { H: 4} { O: 7}   	  { P: 1}{ C: 7}{ X: 1}{ H: 7}{ N: 4}{ O: 5}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__1247	 RXN1G-1247	Reactants and product do not have the same elements  	 { P: 3}{ C: 21}{ H: 25}{ N: 7}{ O: 17}  	  { P: 4} { S: 1} { C: 87} { X: 1} { H: 148} { N: 10} { O: 27}   	  { P: -1}{ C: -66}{ H: -123}{ N: -3}{ O: -10}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__424	 RXN1G-424	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 61}{ X: 2}{ H: 110}{ N: 3}{ O: 12}  	  { P: 1} { C: 61} { S: 2} { X: 2} { H: 111} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 61}{ X: 2}{ H: 108}{ N: 3}{ O: 12} 	 { P: 1}{ C: 61}{ S: 2}{ X: 2}{ H: 111}{ N: 3}{ O: 12} 	 { H: -3} 	 
RXN__45__14972	 RXN-14972	The sum of coefficients is different on both sides 	 { P: 6}{ S: 2}{ C: 51}{ X: 2}{ H: 66}{ N: 14}{ O: 39}  	  { P: 6} { S: 2} { C: 51} { X: 2} { H: 67} { N: 14} { O: 39}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 6}{ S: 2}{ C: 51}{ X: 2}{ H: 62}{ N: 14}{ O: 39} 	 { P: 6}{ S: 2}{ C: 51}{ X: 2}{ H: 67}{ N: 14}{ O: 39} 	 { H: -5} 	 
_2__46__4__46__1__46__224__45__RXN	 2.4.1.224-RXN	The sum of coefficients is different on both sides 	 { P: 2}{ C: 17}{ H: 25}{ N: 3}{ O: 17}  	  { P: 2} { C: 9} { H: 12} { N: 2} { O: 12}   	  { C: 8}{ H: 13}{ N: 1}{ O: 5}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN__45__8141	 RXN-8141	The sum of coefficients is different on both sides 	 { P: 3}{ C: 22}{ X: 4}{ H: 29}{ N: 3}{ O: 25}  	  { P: 3} { C: 22} { X: 4} { H: 30} { N: 3} { O: 25}   	  { H: -1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__660	 RXN1G-660	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 63}{ X: 2}{ H: 114}{ N: 3}{ O: 12}  	  { P: 1} { C: 63} { S: 2} { X: 2} { H: 115} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 63}{ X: 2}{ H: 112}{ N: 3}{ O: 12} 	 { P: 1}{ C: 63}{ S: 2}{ X: 2}{ H: 115}{ N: 3}{ O: 12} 	 { H: -3} 	 
RXN__45__7919	 RXN-7919	Reactants and product do not have the same elements  	 { H: 2}{ O: 1}  	  { S: 1} { C: 10} { H: 17} { N: 3} { O: 6}   	  { H: -15}{ O: -5}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__9534	 RXN-9534	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 33}{ X: 1}{ H: 49}{ N: 7}{ O: 18}  	  { P: 3} { S: 1} { C: 33} { X: 1} { H: 48} { N: 7} { O: 18}   	  { H: 1}  	 YES 	 Adding atoms of one element in products	 { P: 3}{ S: 1}{ C: 33}{ X: 1}{ H: 49}{ N: 7}{ O: 18} 	 { P: 3}{ S: 1}{ C: 33}{ X: 1}{ H: 49}{ N: 7}{ O: 18} 	  	 
RXN1G__45__89	 RXN1G-89	The sum of coefficients is different on both sides 	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3}  	  { C: 1} { S: 1} { X: 1} { H: 2} { O: 2}   	  { C: 2}{ H: 1}{ O: 1}  	 YES 	 Impossible to solve by a system of equations	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3} 	 { C: 1}{ S: 1}{ X: 1}{ H: 2}{ O: 2} 	 { C: 2}{ H: 1}{ O: 1} 	 
RXN__45__18259	 RXN-18259	The sum of coefficients is different on both sides 	 { P: 2}{ C: 15}{ H: 22}{ N: 2}{ O: 17}  	  { P: 2} { C: 9} { H: 12} { N: 2} { O: 12}   	  { C: 6}{ H: 10}{ O: 5}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
DEOXYHYPUSINE__45__MONOOXYGENASE__45__RXN	 DEOXYHYPUSINE-MONOOXYGENASE-RXN	The sum of coefficients is different on both sides 	 { C: 10}{ X: 3}{ H: 24}{ N: 3}{ O: 3}  	  { C: 11} { H: 24} { X: 2} { N: 4} { O: 4}   	  { C: -1}{ X: 1}{ N: -1}{ O: -1}  	 YES 	 Impossible to solve by a system of equations	 { C: 10}{ X: 3}{ H: 24}{ N: 3}{ O: 3} 	 { C: 11}{ H: 24}{ X: 2}{ N: 4}{ O: 4} 	 { C: -1}{ X: 1}{ N: -1}{ O: -1} 	 
RXN1G__45__883	 RXN1G-883	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 65}{ X: 2}{ H: 118}{ N: 3}{ O: 12}  	  { P: 1} { C: 65} { S: 2} { X: 2} { H: 119} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 65}{ X: 2}{ H: 116}{ N: 3}{ O: 12} 	 { P: 1}{ C: 65}{ S: 2}{ X: 2}{ H: 119}{ N: 3}{ O: 12} 	 { H: -3} 	 
RXN1G__45__32	 RXN1G-32	The sum of coefficients is different on both sides 	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3}  	  { C: 1} { S: 1} { X: 1} { H: 2} { O: 2}   	  { C: 2}{ H: 1}{ O: 1}  	 YES 	 Impossible to solve by a system of equations	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3} 	 { C: 1}{ S: 1}{ X: 1}{ H: 2}{ O: 2} 	 { C: 2}{ H: 1}{ O: 1} 	 
MBCOA__45__DHLIPOAMIDE__45__RXN	 MBCOA-DHLIPOAMIDE-RXN	Reactants and product do not have the same elements  	 { P: 3}{ S: 3}{ C: 41}{ X: 2}{ H: 68}{ N: 9}{ O: 19}  	  { P: 3} { S: 1} { C: 21} { H: 32} { N: 7} { O: 16}   	  { S: 2}{ C: 20}{ X: 2}{ H: 36}{ N: 2}{ O: 3}  	 NO 	  	  - 	 - 	 - 	 - 	 
_2__46__4__46__1__46__134__45__RXN	 2.4.1.134-RXN	The sum of coefficients is different on both sides 	 { P: 2}{ C: 15}{ H: 22}{ N: 2}{ O: 17}  	  { P: 2} { C: 9} { H: 12} { N: 2} { O: 12}   	  { C: 6}{ H: 10}{ O: 5}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN__45__16891	 RXN-16891	Reactants and product do not have the same elements  	 { S: 1}{ C: 22}{ X: 2}{ H: 38}{ N: 10}{ O: 6}  	  { S: 1} { C: 14} { H: 21} { N: 6} { O: 5}   	  { C: 8}{ X: 2}{ H: 17}{ N: 4}{ O: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__17858	 RXN-17858	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 23}{ H: 34}{ N: 7}{ O: 17}  	  { P: 3} { S: 1} { C: 21} { H: 33} { N: 7} { O: 16}   	  { C: 2}{ H: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN1G__45__138	 RXN1G-138	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 45}{ X: 2}{ H: 80}{ N: 3}{ O: 12}  	  { P: 1} { C: 45} { S: 2} { X: 2} { H: 81} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 45}{ X: 2}{ H: 78}{ N: 3}{ O: 12} 	 { P: 1}{ C: 45}{ S: 2}{ X: 2}{ H: 81}{ N: 3}{ O: 12} 	 { H: -3} 	 
RXN1G__45__637	 RXN1G-637	The sum of coefficients is different on both sides 	 { P: 3}{ C: 21}{ H: 25}{ N: 7}{ O: 17}  	  { P: 3} { C: 21} { H: 27} { N: 7} { O: 17}   	  { H: -2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__526	 RXN1G-526	Reactants and product do not have the same elements  	 { P: 2}{ C: 21}{ H: 26}{ N: 7}{ O: 14}  	  { P: 3} { S: 1} { C: 59} { X: 1} { H: 98} { N: 10} { O: 23}   	  { P: -1}{ C: -38}{ H: -72}{ N: -3}{ O: -9}  	 NO 	  	  - 	 - 	 - 	 - 	 
_2__46__4__46__1__46__37__45__RXN	 2.4.1.37-RXN	The sum of coefficients is different on both sides 	 { P: 2}{ C: 15}{ H: 22}{ N: 2}{ O: 17}  	  { P: 2} { C: 9} { H: 12} { N: 2} { O: 12}   	  { C: 6}{ H: 10}{ O: 5}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN__45__11479	 RXN-11479	The sum of coefficients is different on both sides 	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3}  	  { C: 1} { S: 1} { X: 1} { H: 2} { O: 2}   	  { C: 2}{ H: 1}{ O: 1}  	 YES 	 Impossible to solve by a system of equations	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3} 	 { C: 1}{ S: 1}{ X: 1}{ H: 2}{ O: 2} 	 { C: 2}{ H: 1}{ O: 1} 	 
RXN0__45__5468	 RXN0-5468	The sum of coefficients is different on both sides 	 { S: 2}{ C: 6}{ X: 1}{ H: 9}{ N: 1}{ O: 2}  	  { S: 2} { C: 6} { X: 1} { H: 7} { N: 1} { O: 2}   	  { H: 2}  	 NO 	  	  - 	 - 	 - 	 - 	 
_2__46__5__46__1__46__46__45__RXN	 2.5.1.46-RXN	The sum of coefficients is different on both sides 	 { C: 14}{ X: 1}{ H: 37}{ N: 6}{ O: 2}  	  { C: 13} { X: 2} { H: 35} { N: 5} { O: 1}   	  { C: 1}{ X: -1}{ H: 2}{ N: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN__45__18742	 RXN-18742	The sum of coefficients is different on both sides 	 { P: 3}{ C: 10}{ H: 12}{ N: 5}{ O: 13}  	  { P: 3} { C: 10} { H: 13} { N: 5} { O: 14}   	  { H: -1}{ O: -1}  	 YES 	 Impossible to solve by a system of equations	 { P: 3}{ C: 10}{ H: 12}{ N: 5}{ O: 13} 	 { P: 3}{ C: 10}{ H: 13}{ N: 5}{ O: 14} 	 { H: -1}{ O: -1} 	 
RXN__45__17869	 RXN-17869	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 23}{ H: 34}{ N: 7}{ O: 17}  	  { P: 3} { S: 1} { C: 21} { H: 33} { N: 7} { O: 16}   	  { C: 2}{ H: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN1G__45__1003	 RXN1G-1003	The sum of coefficients is different on both sides 	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3}  	  { C: 1} { S: 1} { X: 1} { H: 2} { O: 2}   	  { C: 2}{ H: 1}{ O: 1}  	 YES 	 Impossible to solve by a system of equations	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3} 	 { C: 1}{ S: 1}{ X: 1}{ H: 2}{ O: 2} 	 { C: 2}{ H: 1}{ O: 1} 	 
RXN1G__45__182	 RXN1G-182	Reactants and product do not have the same elements  	 { P: 3}{ C: 21}{ H: 25}{ N: 7}{ O: 17}  	  { P: 4} { S: 1} { C: 77} { X: 1} { H: 128} { N: 10} { O: 27}   	  { P: -1}{ C: -56}{ H: -103}{ N: -3}{ O: -10}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__9623	 RXN-9623	The sum of coefficients is different on both sides 	 { P: 6}{ S: 1}{ C: 47}{ H: 74}{ N: 12}{ O: 31}  	  { P: 6} { S: 1} { C: 47} { H: 75} { N: 12} { O: 31}   	  { H: -1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__132	 RXN1G-132	Reactants and product do not have the same elements  	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3}  	  { P: 1} { C: 55} { S: 2} { X: 2} { H: 101} { N: 3} { O: 12}   	  { S: -1}{ C: -52}{ X: -1}{ H: -98}{ O: -9}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN0__45__7068	 RXN0-7068	The sum of coefficients is different on both sides 	 { P: 5}{ C: 41}{ H: 50}{ X: 3}{ N: 15}{ O: 34}  	  { P: 3} { C: 29} { X: 2} { H: 36} { N: 12} { O: 20}   	  { P: 2}{ C: 12}{ H: 14}{ X: 1}{ N: 3}{ O: 14}  	 YES 	 Impossible to solve by a system of equations	 { P: 5}{ C: 41}{ H: 50}{ X: 3}{ N: 15}{ O: 34} 	 { P: 3}{ C: 29}{ X: 2}{ H: 36}{ N: 12}{ O: 20} 	 { P: 2}{ C: 12}{ H: 14}{ X: 1}{ N: 3}{ O: 14} 	 
STEROL__45__ESTERASE__45__RXN	 STEROL-ESTERASE-RXN	Reactants and product do not have the same elements  	 { H: 2}{ O: 1}  	  { C: 1} { H: 1} { X: 1} { O: 2}   	  { H: 1}{ O: -1}  	 NO 	  	  - 	 - 	 - 	 - 	 
_2__46__3__46__1__46__179__45__RXN	 2.3.1.179-RXN	Reactants and product do not have the same elements  	 { P: 1}{ S: 2}{ C: 33}{ X: 2}{ H: 56}{ N: 3}{ O: 12}  	  { S: 2} { C: 2} { X: 3} { H: 3} { O: 3}   	  { P: 1}{ C: 31}{ X: -1}{ H: 53}{ N: 3}{ O: 9}  	 NO 	  	  - 	 - 	 - 	 - 	 
AMINOACYLASE__45__RXN	 AMINOACYLASE-RXN	Reactants and product do not have the same elements  	 { H: 2}{ O: 1}  	  { C: 1} { X: 1} { O: 2}   	  { H: 2}{ O: -1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__16101	 RXN-16101	The sum of coefficients is different on both sides 	 { H: 2}{ X: 2}{ O: 2}  	  { H: 4} { X: 2} { O: 2}   	  { H: -2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__9530	 RXN-9530	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 31}{ X: 1}{ H: 45}{ N: 7}{ O: 18}  	  { P: 3} { S: 1} { C: 31} { X: 1} { H: 44} { N: 7} { O: 18}   	  { H: 1}  	 YES 	 Adding atoms of one element in products	 { P: 3}{ S: 1}{ C: 31}{ X: 1}{ H: 45}{ N: 7}{ O: 18} 	 { P: 3}{ S: 1}{ C: 31}{ X: 1}{ H: 45}{ N: 7}{ O: 18} 	  	 
_2__46__4__46__1__46__225__45__RXN	 2.4.1.225-RXN	Reactants and product do not have the same elements  	 { P: 2}{ C: 49}{ X: 2}{ H: 72}{ N: 4}{ O: 45}  	  { P: 2} { C: 9} { H: 12} { N: 2} { O: 12}   	  { C: 40}{ X: 2}{ H: 60}{ N: 2}{ O: 33}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__18244	 RXN-18244	The sum of coefficients is different on both sides 	 { P: 2}{ C: 15}{ H: 22}{ N: 2}{ O: 17}  	  { P: 2} { C: 9} { H: 12} { N: 2} { O: 12}   	  { C: 6}{ H: 10}{ O: 5}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN__45__9660	 RXN-9660	The sum of coefficients is different on both sides 	 { P: 2}{ S: 1}{ C: 31}{ X: 1}{ H: 45}{ N: 7}{ O: 15}  	  { P: 2} { S: 1} { C: 31} { X: 1} { H: 46} { N: 7} { O: 15}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 2}{ S: 1}{ C: 31}{ X: 1}{ H: 43}{ N: 7}{ O: 15} 	 { P: 2}{ S: 1}{ C: 31}{ X: 1}{ H: 46}{ N: 7}{ O: 15} 	 { H: -3} 	 
MALONYL__45__COA__45__ACP__45__TRANSACYL__45__RXN	 MALONYL-COA-ACP-TRANSACYL-RXN	The sum of coefficients is different on both sides 	 { P: 3}{ C: 24}{ S: 2}{ X: 1}{ H: 35}{ N: 7}{ O: 19}  	  { P: 3} { S: 2} { C: 24} { X: 1} { H: 34} { N: 7} { O: 19}   	  { H: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__252	 RXN1G-252	The sum of coefficients is different on both sides 	 { P: 3}{ C: 21}{ H: 25}{ N: 7}{ O: 17}  	  { P: 3} { C: 21} { H: 27} { N: 7} { O: 17}   	  { H: -2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__1212	 RXN1G-1212	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 67}{ X: 2}{ H: 122}{ N: 3}{ O: 12}  	  { P: 1} { C: 67} { S: 2} { X: 2} { H: 123} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 67}{ X: 2}{ H: 120}{ N: 3}{ O: 12} 	 { P: 1}{ C: 67}{ S: 2}{ X: 2}{ H: 123}{ N: 3}{ O: 12} 	 { H: -3} 	 
_3__46__2__46__1__46__52__45__RXN	 3.2.1.52-RXN	Reactants and product do not have the same elements  	 { H: 2}{ O: 1}  	  { C: 8} { X: 1} { H: 16} { N: 1} { O: 7}   	  { H: -14}{ O: -6}  	 NO 	  	  - 	 - 	 - 	 - 	 
_2__46__3__46__1__46__78__45__RXN	 2.3.1.78-RXN	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 23}{ H: 34}{ N: 7}{ O: 17}  	  { P: 3} { S: 1} { C: 21} { H: 32} { N: 7} { O: 16}   	  { C: 2}{ H: 2}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
_1__45__ACYLGLYCEROL__45__3__45__P__45__ACYLTRANSFER__45__RXN__45__Palmitoyl__45__ACPs__47__1__45__PALMITOYLGLYCEROL__45__3__45__PHOSPHATE__47____47__CPD0__45__1422__47__ACP__46__62__46__	 1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN-Palmitoyl-ACPs/1-PALMITOYLGLYCEROL-3-PHOSPHATE//CPD0-1422/ACP.62.	The sum of coefficients is different on both sides 	 { P: 1}{ S: 1}{ C: 35}{ X: 1}{ H: 68}{ O: 8}  	  { P: 1} { C: 35} { S: 1} { X: 1} { H: 69} { O: 8}   	  { H: -1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__18558	 RXN-18558	Reactants and product do not have the same elements  	   	  { C: 1} { O: 2}   	    	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__218	 RXN1G-218	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 43}{ X: 2}{ H: 76}{ N: 3}{ O: 12}  	  { P: 1} { C: 43} { S: 2} { X: 2} { H: 77} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 43}{ X: 2}{ H: 74}{ N: 3}{ O: 12} 	 { P: 1}{ C: 43}{ S: 2}{ X: 2}{ H: 77}{ N: 3}{ O: 12} 	 { H: -3} 	 
_3__46__2__46__1__46__50__45__RXN	 3.2.1.50-RXN	Reactants and product do not have the same elements  	 { H: 2}{ O: 1}  	  { C: 8} { X: 1} { H: 16} { N: 1} { O: 7}   	  { H: -14}{ O: -6}  	 NO 	  	  - 	 - 	 - 	 - 	 
DIACYLGLYKIN__45__RXN__45__ATP__47__CPD__45__17375__47____47__CPD__45__17373__47__ADP__47__PROTON__46__36__46__	 DIACYLGLYKIN-RXN-ATP/CPD-17375//CPD-17373/ADP/PROTON.36.	Reactants and product do not have the same elements  	 { P: 3}{ C: 49}{ H: 82}{ N: 5}{ O: 20}  	  { P: 3} { C: 15} { X: 2} { H: 18} { N: 5} { O: 18}   	  { C: 34}{ H: 64}{ O: 2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__19954	 RXN-19954	Reactants and product do not have the same elements  	   	  { H: 2} { O: 1}   	    	 NO 	  	  - 	 - 	 - 	 - 	 
_3__45__OXOACYL__45__ACP__45__SYNTH__45__RXN__45__Arachidoyl__45__ACPs__47__MALONYL__45__ACP__47__PROTON__47____47__3__45__oxo__45__behenoyl__45__ACPs__47__CARBON__45__DIOXIDE__47__ACP__46__75__46__	 3-OXOACYL-ACP-SYNTH-RXN-Arachidoyl-ACPs/MALONYL-ACP/PROTON//3-oxo-behenoyl-ACPs/CARBON-DIOXIDE/ACP.75.	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 37}{ X: 3}{ H: 66}{ N: 3}{ O: 12}  	  { P: 1} { S: 2} { C: 37} { X: 3} { H: 67} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 37}{ X: 3}{ H: 64}{ N: 3}{ O: 12} 	 { P: 1}{ S: 2}{ C: 37}{ X: 3}{ H: 67}{ N: 3}{ O: 12} 	 { H: -3} 	 
RXN__45__9479	 RXN-9479	The sum of coefficients is different on both sides 	 { P: 21}{ S: 8}{ C: 174}{ X: 1}{ H: 247}{ N: 49}{ O: 134}  	  { P: 21} { C: 174} { S: 8} { X: 1} { H: 248} { N: 49} { O: 134}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 21}{ S: 8}{ C: 174}{ X: 1}{ H: 241}{ N: 49}{ O: 134} 	 { P: 21}{ C: 174}{ S: 8}{ X: 1}{ H: 248}{ N: 49}{ O: 134} 	 { H: -7} 	 
RXN__45__16118	 RXN-16118	The sum of coefficients is different on both sides 	 { P: 4}{ S: 1}{ C: 43}{ X: 1}{ H: 68}{ N: 7}{ O: 25}  	  { P: 4} { S: 1} { C: 26} { X: 2} { H: 37} { N: 7} { O: 24}   	  { C: 17}{ X: -1}{ H: 31}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN__45__12959__45__CTP__47__CPD__45__17375__47____47__CDP__47__CPD__45__17373__47__PROTON__46__36__46__	 RXN-12959-CTP/CPD-17375//CDP/CPD-17373/PROTON.36.	Reactants and product do not have the same elements  	 { P: 3}{ C: 48}{ H: 82}{ N: 3}{ O: 21}  	  { P: 3} { C: 14} { X: 2} { H: 18} { N: 3} { O: 19}   	  { C: 34}{ H: 64}{ O: 2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__17868	 RXN-17868	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 23}{ H: 34}{ N: 7}{ O: 17}  	  { P: 3} { S: 1} { C: 21} { H: 33} { N: 7} { O: 16}   	  { C: 2}{ H: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
